year,chron,tmax.lsum,stream.yel,swe.yel
1333,0.341,-1.1,145.1397717,24.234
1334,0.337,-0.62,81.24309047,64.525
1335,0.366,-1.22,121.8390308,46.133
1336,0.348,0.8,77.23007125,75.193
1337,0.244,0.88,60.50432713,61.92
1338,0.341,-0.24,146.820411,52.141
1339,0.261,0.43,118.7917925,40.531
1340,0.368,1.48,104.1804995,54.567
1341,0.331,-1.4,119.8909594,49.879
1342,0.306,-1.18,92.4243565,57.683
1343,0.382,-0.28,124.9644366,40.184
1344,0.329,0.69,73.75414546,77.486
1345,0.355,-0.66,145.4743534,40.532
1346,0.305,-0.28,106.1173596,50.79
1347,0.408,-1.55,132.9800327,50.242
1348,0.245,0.17,76.69842318,74.722
1349,0.27,-1.52,115.5543863,54.505
1350,0.298,-0.06,72.4079806,42.421
1351,0.369,-1.48,110.3535822,54.523
1352,0.215,0.88,81.43037514,51.307
1353,0.357,-0.51,85.07195936,56.204
1354,0.262,-0.02,89.9055362,61.027
1355,0.264,0.43,104.4206604,53.886
1356,0.274,0.84,133.9018063,44.109
1357,0.268,-0.43,129.3559577,69.891
1358,0.262,0.73,119.8909594,52.436
1359,0.269,-2.23,83.90472832,54.258
1360,0.314,0.84,71.90952757,60.101
1361,0.349,-0.06,51.37909326,51.548
1362,0.332,0.32,130.2526103,58.851
1363,0.271,-0.95,79.76023695,61.662
1364,0.295,0.24,123.5339805,59.811
1365,0.298,0.69,125.5412462,58.367
1366,0.244,-1.96,99.26278033,65.761
1367,0.266,0.28,131.1554783,55.438
1368,0.327,0.32,98.12652868,32.591
1369,0.327,-2.75,56.72655837,64.291
1370,0.361,0.28,107.5935992,34.504
1371,0.288,-0.36,113.4452811,54.079
1372,0.301,0.62,92.85096795,54.396
1373,0.383,-0.8,83.13548515,52.101
1374,0.323,-0.99,97.45103041,49.559
1375,0.426,0.28,70.27266688,54.262
1376,0.343,-3.24,101.5749075,66.365
1377,0.357,0.09,116.8924431,46.182
1378,0.325,0.09,120.7220038,58.224
1379,0.311,1.03,89.08127729,51.402
1380,0.278,0.51,63.50185844,75.761
1381,0.303,1.07,79.21117135,54.383
1382,0.244,-0.24,74.43658417,72.944
1383,0.274,-2.26,173.2951609,64.493
1384,0.307,-0.21,205.487986,43.922
1385,0.311,0.09,155.5200673,46.71
1386,0.291,-0.13,146.820411,48.164
1387,0.318,0.13,89.6987592,57.206
1388,0.266,0.39,102.2789911,65.084
1389,0.241,-1.89,108.8394743,47.984
1390,0.344,-0.02,145.1397717,58.255
1391,0.373,-0.21,98.35273369,23.284
1392,0.271,0.47,120.7220038,63.423
1393,0.219,-0.84,82.18384112,61.866
1394,0.36,-0.02,147.158867,34.28
1395,0.302,-0.95,117.161908,49.119
1396,0.256,0.17,75.1253374,48.186
1397,0.364,0.54,79.94410329,44.637
1398,0.215,0.24,67.88697161,79.205
1399,0.302,0.28,86.65356517,72.835
