year,std,stream.yel,swe.yel,tmax.lsum
1149,1.425,107.841628,52.972,0.32
1150,0.975,70.43466211,72.816,0.51
1151,0.753,73.75414546,60.164,-1.59
1152,0.818,84.68108922,48.702,0.69
1153,0.818,91.36638364,65.467,-1.18
1154,0.934,109.5939135,50.638,-0.36
1155,0.816,105.3868529,51.095,0.17
1156,0.852,62.3428189,54.597,0.32
1157,0.679,97.67567823,69.029,-0.06
1158,0.829,71.74414024,70.867,-0.28
1159,0.813,81.99482353,50.89,0.21
1160,0.873,71.90952757,48.417,0.17
1161,0.981,58.85541625,52.025,1.14
1162,1.048,90.73742188,43.054,0.95
1163,1.098,128.1700151,44.241,1.59
1164,1.014,87.25421899,44.04,1.22
1165,1.194,117.161908,49.345,-0.36
1166,0.88,82.5631845,56.599,-0.8
1167,0.956,91.36638364,48.083,0.02
1168,1.322,106.3619854,36.302,0.24
1169,0.98,112.6643293,53.087,-0.73
1170,0.592,84.29201495,55.294,0.21
1171,0.757,77.40810495,50.938,-0.09
1172,0.815,84.68108922,57.788,-0.36
1173,0.897,96.11395214,43.463,0.06
1174,0.658,61.06416678,53.316,0.8
1175,0.668,93.71010738,57.175,0.92
1176,0.884,55.94824082,55.629,-1.29
1177,1.118,90.5287316,46.971,0.13
1178,1.219,97.45103041,43.634,-0.39
1179,0.773,85.07195936,49.086,-0.36
1180,0.605,88.46804609,61.899,-0.47
1181,1.116,143.4783704,49.294,-0.02
1182,1.145,162.4749588,53.128,-0.02
1183,1.234,102.5147686,28.654,0.17
1184,1.155,113.9689207,41.561,0.65
1185,0.991,75.99524781,72.249,0.69
1186,0.932,108.0902286,42.199,1.4
1187,0.63,108.3394024,71.811,-0.62
1188,0.805,123.2498603,42.865,-0.47
1189,0.887,78.48495896,65.915,1.25
1190,1.022,124.9644366,44.968,1.48
1191,0.912,107.3461407,54.389,2.04
1192,1.007,152.3303485,58.435,0.77
1193,0.933,113.9689207,43.283,1.82
1194,0.63,67.10987587,68.51,0.47
1195,0.833,208.3466086,48.323,0.39
1196,1.016,103.940891,47.109,0.24
1197,0.77,176.1109807,50.321,-0.99
1198,1.007,83.90472832,50.276,0.28
1199,0.793,83.32713224,41.103,-0.88
1200,1.112,116.8924431,76.18,-1.07
1201,1.259,107.0992515,28.029,-0.21
1202,1.172,153.386252,50.615,-0.73
1203,1.177,68.83137346,51.19,-1.18
1204,1.124,171.7063813,53.447,0.06
