year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1973,0.723,11.23700047,4.034999847,18.44000053,47.44400024,2.94,8.822500467,2.059500024,15.58699989,119.1809978,-0.155
1974,0.759,12.78800106,6.027999878,19.54999924,28.97599983,-1.67,9.213250637,2.457249984,15.97000003,152.2510014,2.485
1975,0.814,12.94900036,6.204999924,19.69300079,30.91300011,2.01,8.382250309,1.873749979,14.8917501,210.0009995,3.4575
1976,0.8,12.98800087,6.316999912,19.6590004,70.84700012,3.63,9.22075057,2.87174996,15.57025003,148.0500012,4.1275
1977,0.764,11.25500011,4.125999928,18.38400078,25.96100044,3.23,9.204000354,2.769999937,15.63925004,154.2940045,-3.62
1978,0.734,10.7310009,4.063000202,17.40099907,31.69199944,-3.11,8.494000435,1.880750023,15.10824966,114.993,2.4275
1979,0.799,12.27700043,5.504000187,19.0510006,47.13700104,1.73,10.18750036,3.908750087,16.46774983,148.5230007,-0.135
1980,0.765,12.08000088,5.227000237,18.93499947,20.85199928,-1.17,8.742000461,2.35650006,15.12849998,159.9419975,0.2525
1981,0.765,11.98900032,5.162000179,18.81599998,44.07799911,0.53,9.83000052,3.451750075,16.20850015,175.6399975,1.1675
1982,0.706,10.40000057,3.183000088,17.61800003,34.45100021,0.65,8.571250439,1.887749966,15.2562499,191.6930008,2.605
1983,0.818,11.04000092,4.550000191,17.53199959,43.34600067,2.54,8.932000399,2.70775,15.15749979,157.6090012,1.44
1984,0.928,11.96700096,4.328000069,19.6079998,53.32600021,1.51,8.24475044,0.935000062,15.55574965,163.9889984,1.3625
1985,0.72,12.93800068,5.031000137,20.84600067,46.26399994,1.86,8.376500249,1.12325006,15.63074994,152.7370033,-2.03
1986,0.662,9.756000519,2.387000084,17.125,43.24000168,-1.6,8.783750296,1.425000012,16.14349961,172.6559982,1.9375
1987,0.794,10.4260006,3.270999908,17.58300018,67.11199951,2.2,8.306000471,1.21699997,15.39600015,242.5139999,-1.5
1988,0.983,14.06900024,6.513999939,21.62599945,110.2809982,2.27,10.55775046,2.653999985,18.46299982,61.2309996,-2.0925
1989,0.519,14.1230011,5.802999973,22.44499969,0.028000001,-3.32,9.256750584,1.962499999,16.55274987,164.2120018,-0.425
1990,0.651,10.83000088,3.75,17.9109993,48.26100159,1.17,9.321250439,2.636000022,16.0077498,142.4629993,-0.055
1991,0.806,11.177001,3.698999882,18.65699959,50.39300156,-0.12,9.065250635,2.319500007,15.81250024,112.4190025,1.425
1992,0.578,7.893000603,1.67900002,14.1079998,23.5909996,0.69,7.33275044,0.977749974,13.68899989,287.0590057,1.645
1993,0.541,6.30300045,0.153999999,12.45400047,91.05799866,3.03,5.863750339,-0.257249992,11.98525023,239.4160004,1.695
1994,0.777,10.44000053,2.857000113,18.02400017,94.12799835,3.19,9.229000568,1.999000013,16.46049976,131.1000023,-1.1525
1995,0.633,9.912000656,3.15199995,16.67499924,54.56299973,-0.94,8.152750373,1.543749996,14.76324987,158.1130066,2.355
1996,0.614,11.43500042,3.579999924,19.29199982,45.15000153,2.48,8.568000436,1.403249964,15.73499966,70.19599914,3.8675
1997,0.666,9.963000298,3.315000057,16.61199951,18.97400093,2.29,8.777000427,2.508000046,15.04700017,198.3159943,4.2675
1998,0.816,13.25900078,5.852000237,20.66699982,58.72399902,4.87,9.377000272,3.222750068,15.53224993,237.4369965,0.0225
1999,0.72,11.35100079,4.005000114,18.6970005,50.86500168,1.59,8.271500468,1.823500066,14.71975017,167.9749985,1.24
2000,0.731,12.57800102,5.166999817,19.98999977,42.24499893,1.41,9.337500572,2.5094999,16.16699982,109.9569969,-0.3825
2001,0.665,12.6600008,5.412000179,19.90800095,17.48699951,-1.1,10.34875059,3.381750017,17.31625032,152.9730015,-2.2525
2002,0.668,13.80700111,6.31099987,21.30500031,42.64099884,-2.23,9.399250507,2.652249977,16.14725018,182.9539986,1.3075
2003,0.761,14.17500114,6.355999947,21.99600029,60.1230011,1.69,9.886750698,3.200500008,16.57350016,83.43299913,-0.4875
2004,0.451,10.85300064,4.085999966,17.62199974,7.945000172,-2.15,7.82575047,1.708999993,13.94375014,195.1690064,-1.7825
2005,0.708,12.55900097,5.206999779,19.91399956,41.625,-0.57,8.915000558,2.450499967,15.38074994,173.3789978,-0.615
2006,0.646,14.3560009,6.927000046,21.78499985,33.00899887,0.34,10.21325052,3.263500001,17.16400003,101.0729981,-2.3325
2007,0.481,15.24600029,7.602000237,22.89100075,40.23699951,-2.99,10.85000062,3.908000007,17.79324985,157.9929962,-2.0075
2008,0.564,12.45900059,4.763000011,20.15699959,49.6629982,-1.95,8.879250407,1.894750044,15.86524963,101.4260025,1.015
2009,0.604,10.7840004,3.448999882,18.12199974,12.27099991,-1.23,9.171250463,2.363249988,15.98099971,227.3580055,1.73
2010,0.534,11.27200031,3.75999999,18.7859993,64.59200287,2.42,8.881750345,2.135249987,15.62974977,178.2280006,0.58
2011,0.548,12.28200054,4.728000164,19.83699989,20.08499908,1,9.718000293,2.751499988,16.68550014,122.9370003,3.425
2012,0.615,13.83500099,6.381000042,21.28899956,33.50799942,2.53,10.83000064,3.604000062,18.05699968,86.41499901,-0.04
2013,0.643,13.48300076,5.907999992,21.05999947,39.83599854,-2,10.48775053,3.859249949,17.11774993,125.0039997,-1.435
2014,0.67,12.49900055,5.02699995,19.97299957,54.85699844,-1.92,8.901000381,2.577999931,15.2249999,194.3600006,2.865
2015,0.838,11.08700085,4.34100008,17.83399963,27.09700012,3.18,10.30925035,3.653500021,16.96624994,142.5149994,-1.5425
,,11.44900036,4.127999783,18.77199936,39.84400177,-1.32,9.946500421,2.958249957,16.93599987,78.95199966,-2.995
,,13.60800076,6.001999855,21.21500015,35.62799835,-3.52,9.706000566,2.902749956,16.51024985,137.026001,2.075
,,12.89100075,5.415999889,20.36800003,43.64300156,1.45,9.788250685,2.892249987,16.68600011,164.0979996,1.725
,,11.54889965,4.335999966,18.76199913,12.61800003,1.78,9.08757484,2.686500017,15.48874998,177.1880035,1.8525
,,,,,63.13199997,-0.61,,,,,0.2525
,,,,,,-4.57,,,,,
